timestamp,hour_of_day,day_of_week,is_weekend,holiday_factor,is_holiday,weather_condition,wet_level,dry_level,next_fill_rate_wet,next_fill_rate_dry,avg_fill_rate_last_3h,previous_day_same_time_level
2025-01-01 00:00:00,0,Wednesday,0,0.0,0,rainy,21.15,20.46,1.15,0.46,0.0,0.0
2025-01-01 01:00:00,1,Wednesday,0,0.0,0,normal,21.76,20.79,0.61,0.33,0.0,0.0
2025-01-01 02:00:00,2,Wednesday,0,0.0,0,rainy,22.75,21.26,1.0,0.47,0.9199999999999999,0.0
2025-01-01 03:00:00,3,Wednesday,0,0.0,0,rainy,23.41,21.74,0.66,0.48,0.7566666666666667,0.0
2025-01-01 04:00:00,4,Wednesday,0,0.0,0,rainy,24.27,22.07,0.85,0.33,0.8366666666666666,0.0
2025-01-01 05:00:00,5,Wednesday,0,0.0,0,normal,24.67,22.33,0.4,0.26,0.6366666666666667,0.0
2025-01-01 06:00:00,6,Wednesday,0,0.0,0,normal,25.27,22.44,0.61,0.11,0.62,0.0
2025-01-01 07:00:00,7,Wednesday,0,0.0,0,hot,26.7,23.81,1.43,1.38,0.8133333333333334,0.0
2025-01-01 08:00:00,8,Wednesday,0,0.0,0,rainy,28.47,25.17,1.77,1.36,1.27,0.0
2025-01-01 09:00:00,9,Wednesday,0,0.0,0,normal,30.17,26.63,1.7,1.46,1.6333333333333335,0.0
2025-01-01 10:00:00,10,Wednesday,0,0.0,0,normal,31.59,27.89,1.43,1.27,1.6333333333333335,0.0
2025-01-01 11:00:00,11,Wednesday,0,0.0,0,rainy,33.52,29.28,1.93,1.39,1.6866666666666665,0.0
2025-01-01 12:00:00,12,Wednesday,0,0.0,0,normal,35.01,30.73,1.48,1.45,1.6133333333333333,0.0
2025-01-01 13:00:00,13,Wednesday,0,0.0,0,normal,36.71,31.73,1.7,1.0,1.7033333333333331,0.0
2025-01-01 14:00:00,14,Wednesday,0,0.0,0,hot,38.51,33.02,1.8,1.29,1.6600000000000001,0.0
2025-01-01 15:00:00,15,Wednesday,0,0.0,0,normal,40.3,34.19,1.79,1.18,1.7633333333333334,0.0
2025-01-01 16:00:00,16,Wednesday,0,0.0,0,normal,41.86,35.39,1.56,1.2,1.7166666666666668,0.0
2025-01-01 17:00:00,17,Wednesday,0,0.0,0,normal,43.09,36.69,1.23,1.29,1.5266666666666666,0.0
2025-01-01 18:00:00,18,Wednesday,0,0.0,0,hot,44.67,37.58,1.58,0.89,1.4566666666666668,0.0
2025-01-01 19:00:00,19,Wednesday,0,0.0,0,normal,46.25,38.91,1.58,1.33,1.4633333333333332,0.0
2025-01-01 20:00:00,20,Wednesday,0,0.0,0,hot,47.77,40.28,1.51,1.37,1.5566666666666666,0.0
2025-01-01 21:00:00,21,Wednesday,0,0.0,0,normal,49.3,41.62,1.53,1.34,1.54,0.0
2025-01-01 22:00:00,22,Wednesday,0,0.0,0,normal,51.05,42.77,1.75,1.15,1.5966666666666667,0.0
2025-01-01 23:00:00,23,Wednesday,0,0.0,0,normal,52.89,43.86,1.84,1.09,1.7066666666666668,0.0
2025-01-02 00:00:00,0,Thursday,0,0.0,0,normal,53.19,44.26,0.3,0.39,1.2966666666666666,21.15
2025-01-02 01:00:00,1,Thursday,0,0.0,0,rainy,53.78,44.7,0.58,0.44,0.9066666666666666,21.76
2025-01-02 02:00:00,2,Thursday,0,0.0,0,normal,54.11,45.24,0.34,0.53,0.4066666666666667,22.75
2025-01-02 03:00:00,3,Thursday,0,0.0,0,hot,54.69,45.53,0.58,0.29,0.49999999999999994,23.41
2025-01-02 04:00:00,4,Thursday,0,0.0,0,normal,55.45,46.22,0.75,0.69,0.5566666666666666,24.27
2025-01-02 05:00:00,5,Thursday,0,0.0,0,normal,55.68,46.82,0.23,0.6,0.5199999999999999,24.67
2025-01-02 06:00:00,6,Thursday,0,0.0,0,normal,55.99,47.3,0.31,0.48,0.43,25.27
2025-01-02 07:00:00,7,Thursday,0,0.0,0,hot,57.64,48.35,1.65,1.05,0.73,26.7
2025-01-02 08:00:00,8,Thursday,0,0.0,0,rainy,59.08,49.47,1.44,1.12,1.1333333333333333,28.47
2025-01-02 09:00:00,9,Thursday,0,0.0,0,hot,60.61,50.67,1.52,1.2,1.5366666666666664,30.17
2025-01-02 10:00:00,10,Thursday,0,0.0,0,normal,62.49,51.92,1.89,1.25,1.6166666666666665,31.59
2025-01-02 11:00:00,11,Thursday,0,0.0,0,normal,64.13,53.06,1.63,1.14,1.68,33.52
2025-01-02 12:00:00,12,Thursday,0,0.0,0,normal,65.91,54.2,1.79,1.13,1.7699999999999998,35.01
2025-01-02 13:00:00,13,Thursday,0,0.0,0,normal,67.26,55.44,1.35,1.24,1.59,36.71
2025-01-02 14:00:00,14,Thursday,0,0.0,0,normal,68.85,56.49,1.59,1.06,1.5766666666666669,38.51
2025-01-02 15:00:00,15,Thursday,0,0.0,0,normal,70.45,57.62,1.6,1.13,1.5133333333333336,40.3
2025-01-02 16:00:00,16,Thursday,0,0.0,0,normal,72.07,58.59,1.62,0.97,1.6033333333333335,41.86
2025-01-02 17:00:00,17,Thursday,0,0.0,0,normal,73.36,59.92,1.29,1.33,1.5033333333333332,43.09
2025-01-02 18:00:00,18,Thursday,0,0.0,0,normal,74.65,60.95,1.28,1.03,1.3966666666666667,44.67
2025-01-02 19:00:00,19,Thursday,0,0.0,0,hot,76.45,62.2,1.8,1.26,1.4566666666666668,46.25
2025-01-02 20:00:00,20,Thursday,0,0.0,0,normal,77.91,63.46,1.47,1.26,1.5166666666666666,47.77
2025-01-02 21:00:00,21,Thursday,0,0.0,0,hot,79.5,64.56,1.59,1.1,1.6199999999999999,49.3
2025-01-02 22:00:00,22,Thursday,0,0.0,0,normal,80.7,65.92,1.2,1.36,1.42,51.05
2025-01-02 23:00:00,23,Thursday,0,0.0,0,rainy,82.59,67.3,1.89,1.38,1.5599999999999998,52.89
2025-01-03 00:00:00,0,Friday,0,0.0,0,normal,83.06,67.58,0.47,0.29,1.1866666666666665,53.19
2025-01-03 01:00:00,1,Friday,0,0.0,0,normal,83.64,67.82,0.58,0.24,0.9799999999999999,53.78
2025-01-03 02:00:00,2,Friday,0,0.0,0,normal,84.14,68.26,0.5,0.44,0.5166666666666666,54.11
2025-01-03 03:00:00,3,Friday,0,0.0,0,normal,84.78,68.77,0.64,0.51,0.5733333333333334,54.69
2025-01-03 04:00:00,4,Friday,0,0.0,0,rainy,85.8,69.12,1.02,0.35,0.7200000000000001,55.45
2025-01-03 05:00:00,5,Friday,0,0.0,0,rainy,86.55,69.42,0.75,0.3,0.8033333333333333,55.68
2025-01-03 06:00:00,6,Friday,0,0.0,0,normal,87.18,69.74,0.63,0.31,0.7999999999999999,55.99
2025-01-03 07:00:00,7,Friday,0,0.0,0,normal,88.65,70.94,1.47,1.2,0.9500000000000001,57.64
2025-01-03 08:00:00,8,Friday,0,0.0,0,rainy,90.29,72.52,1.64,1.59,1.2466666666666668,59.08
2025-01-03 09:00:00,9,Friday,0,0.0,0,normal,91.59,73.7,1.31,1.18,1.4733333333333334,60.61
2025-01-03 10:00:00,10,Friday,0,0.0,0,normal,93.08,74.97,1.49,1.27,1.4799999999999998,62.49
2025-01-03 11:00:00,11,Friday,0,0.0,0,normal,94.81,76.21,1.73,1.25,1.51,64.13
2025-01-03 12:00:00,12,Friday,0,0.0,0,rainy,96.49,77.49,1.68,1.28,1.633333333333333,65.91
2025-01-03 13:00:00,13,Friday,0,0.0,0,rainy,98.29,78.81,1.79,1.32,1.7333333333333334,67.26
